name,team,battingStyle,bowlingStyle,playingRole,image,description
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Rashid Khan Arman,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Fareed Ahmad Malik,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mohammad Saleem Safi,Afghanistan,Right hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Qais Ahmad Kamawal,Afghanistan,Right hand Bat,Legbreak,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Naveen-ul-Haq Murid,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Kane William Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Patrick James Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ashton Charles Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Timothy Hays David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Matthew Scott Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Aaron James Finch,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Joshua Patrick Inglis,Australia,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Cameron Donald Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Josh Reginald Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mitchell Ross Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Steven Peter Devereux Smith,Australia,Right hand Bat,Legbreak Googly,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Glenn James Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
David Andrew Warner,Australia,Left hand Bat,Legbreak,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Marcus Peter Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mitchell Aaron Starc,Australia,Left hand Bat,Left arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mosaddek Hossain Saikat,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Afif Hossain Dhrubo,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Quazi Nurul Hasan,Bangladesh,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Yasir Ali Chowdhury,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ebadot Hossain Chowdhury,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mohammad Shoriful Islam,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Litton Kumer Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Harry Cherrington Brook,England,Right hand Bat,Right arm Medium,Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Joseph Charles Buttler,England,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Reece James William Topley,England,Right hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Jonathan Marc Bairstow,England,Right hand Bat,Right arm Medium,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mark Andrew Wood,England,Right hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Alexander Daniel Hales,England,Right hand Bat,Right arm Medium,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Dawid Johannes Malan,England,Left hand Bat,Legbreak,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Liam Stephen Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Christopher Roger Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Samuel Matthew Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Philip Dean Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Tymal Solomon Mills,England,Right hand Bat,Left arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Moeen Munir Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Benjamin Andrew Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Adil Usman Rashid,England,Right hand Bat,Legbreak,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
David Jonathan Willey,England,Left hand Bat,Left arm Fast medium,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Christopher James Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Hardik Himanshu Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Krishnakumar Dinesh Karthik,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Kannaur Lokesh Rahul,India,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Rishabh Rajendra Pant,India,Left hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Rohit Gurunath Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Yuzvendra Singh Chahal,India,Right hand Bat,Legbreak Googly,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Harshal Vikram Patel,India,Right hand Bat,Right arm Medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Deepak Jagbir Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Bhuvneshwar Kumar Singh,India,Right hand Bat,Right arm Medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Axar Rajeshbhai Patel,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mohammed Shami Ahmed,India,Right hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Jasprit Jasbirsingh Bumrah,India,Right hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Suryakumar Ashok Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Lorcan John Tucker,Ireland,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Stephen Thomas Doheny,Ireland,Right hand Bat,,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Fionn Philip Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Conor Olphert,Ireland,Right hand Bat,Right arm Medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Harry Tom Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Graham Ian Hume,Ireland,Left hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Andrew Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Paul Robert Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Barry John McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Gareth James Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
George Henry Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Craig Alexander Young,Ireland,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Joshua Brian Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mark Richard Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Helao Nafidi Ya France,Namibia,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Zane Edward Green,Namibia,Left hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Michael van Lingen,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Johannes Jonathan Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Merwe Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Lo-handre Louwrens,Namibia,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Bernard Martinus Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Stephan Julian Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Jan Nicolaas Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Tangeni Lungameni,Namibia,Right hand Bat,Left arm Medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Karl Johan Birkenstock,Namibia,Left hand Bat,Right arm Fast medium,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Timothy James Gerard Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Frederick Jack Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Colin Niel Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Stephanus Johannes Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Roelof Erasmus van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Maxwell Patrick O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Scott Andrew Edwards,Netherlands,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Logan Verjus van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Anil Teja Nidamanuru,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Tom Lexley William Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Paul Adriaan van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
