match,teamInnings,match_id,batsmanName,runs,balls,4s,6s,SR,battingPos
Scotland vs West Indies,Scotland,T20I # 1826,Michael Leask,4,6,0,0,66.66,6
Scotland vs West Indies,Scotland,T20I # 1826,Chris Greaves,16,11,2,0,145.45,7
Scotland vs West Indies,West Indies,T20I # 1826,Kyle Mayers,20,13,3,1,153.84,1
Scotland vs West Indies,West Indies,T20I # 1826,Evin Lewis,14,13,1,1,107.69,2
Scotland vs West Indies,West Indies,T20I # 1826,Brandon King,17,15,3,0,113.33,3
Scotland vs West Indies,West Indies,T20I # 1826,Nicholas Pooran(c),5,9,0,0,55.55,4
Scotland vs West Indies,West Indies,T20I # 1826,Shamarh Brooks,4,9,0,0,44.44,5
Scotland vs West Indies,West Indies,T20I # 1826,Rovman Powell,5,6,0,0,83.33,6
Scotland vs West Indies,West Indies,T20I # 1826,Jason Holder,38,33,4,1,115.15,7
Scotland vs West Indies,West Indies,T20I # 1826,Akeal Hosein,1,1,0,0,100.00,8
Scotland vs West Indies,West Indies,T20I # 1826,Alzarri Joseph,0,1,0,0,0.00,9
Scotland vs West Indies,West Indies,T20I # 1826,Odean Smith,5,8,0,0,62.50,10
Scotland vs West Indies,West Indies,T20I # 1826,Obed McCoy,2,3,0,0,66.66,11
Scotland vs Zimbabwe,Scotland,T20I # 1838,George Munsey,54,51,7,0,105.88,1
Scotland vs Zimbabwe,Scotland,T20I # 1838,Michael Jones,4,5,1,0,80.00,2
Scotland vs Zimbabwe,Scotland,T20I # 1838,Matthew Cross,1,7,0,0,14.28,3
Scotland vs Zimbabwe,Scotland,T20I # 1838,Richie Berrington(c),13,15,0,0,86.66,4
Scotland vs Zimbabwe,Scotland,T20I # 1838,Calum MacLeod,25,26,1,0,96.15,5
Scotland vs Zimbabwe,Scotland,T20I # 1838,Michael Leask,12,9,2,0,133.33,6
Scotland vs Zimbabwe,Scotland,T20I # 1838,Chris Greaves,3,7,0,0,42.85,7
Scotland vs Zimbabwe,Scotland,T20I # 1838,Josh Davey,4,3,0,0,133.33,8
Scotland vs Zimbabwe,Zimbabwe,T20I # 1838,Regis Chakabva,4,3,1,0,133.33,1
Scotland vs Zimbabwe,Zimbabwe,T20I # 1838,Craig Ervine(c),58,54,6,0,107.40,2
Scotland vs Zimbabwe,Zimbabwe,T20I # 1838,Wessly Madhevere,0,5,0,0,0.00,3
Scotland vs Zimbabwe,Zimbabwe,T20I # 1838,Sean Williams,7,12,0,0,58.33,4
Scotland vs Zimbabwe,Zimbabwe,T20I # 1838,Sikandar Raza,40,23,3,2,173.91,5
Scotland vs Zimbabwe,Zimbabwe,T20I # 1838,Milton Shumba,11,11,0,0,100.00,6
Scotland vs Zimbabwe,Zimbabwe,T20I # 1838,Ryan Burl,9,5,1,0,180.00,7
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Najmul Hossain Shanto,9,9,1,0,100.00,1
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Soumya Sarkar,15,6,0,2,250.00,2
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Litton Das,34,31,1,1,109.67,3
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Shakib Al Hasan(c),1,4,0,0,25.00,4
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Afif Hossain,1,5,0,0,20.00,5
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Mehidy Hasan Miraz,11,13,0,0,84.61,6
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Mosaddek Hossain,0,3,0,0,0.00,7
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Nurul Hasan,2,6,0,0,33.33,8
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Taskin Ahmed,10,17,1,0,58.82,9
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Hasan Mahmud,0,2,0,0,0.00,10
South Africa vs Bangladesh,Bangladesh,T20I # 1847,Mustafizur Rahman,9,3,0,1,300.00,11
South Africa vs Bangladesh,South Africa,T20I # 1847,Temba Bavuma(c),2,6,0,0,33.33,1
South Africa vs Bangladesh,South Africa,T20I # 1847,Quinton de Kock,63,38,7,3,165.78,2
South Africa vs Bangladesh,South Africa,T20I # 1847,Rilee Rossouw,109,56,7,8,194.64,3
South Africa vs Bangladesh,South Africa,T20I # 1847,Tristan Stubbs,7,7,1,0,100.00,4
South Africa vs Bangladesh,South Africa,T20I # 1847,Aiden Markram,10,11,1,0,90.90,5
South Africa vs Bangladesh,South Africa,T20I # 1847,David Miller,2,4,0,0,50.00,6
South Africa vs Bangladesh,South Africa,T20I # 1847,Wayne Parnell,0,2,0,0,0.00,7
Sri Lanka vs England,England,T20I # 1867,Jos Buttler(c),28,23,2,1,121.73,1
Sri Lanka vs England,England,T20I # 1867,Alex Hales,47,30,7,1,156.66,2
Sri Lanka vs England,England,T20I # 1867,Ben Stokes,42,36,2,0,116.66,3
Sri Lanka vs England,England,T20I # 1867,Harry Brook,4,5,0,0,80.00,4
Sri Lanka vs England,England,T20I # 1867,Liam Livingstone,4,6,0,0,66.66,5
Sri Lanka vs England,England,T20I # 1867,Moeen Ali,1,5,0,0,20.00,6
Sri Lanka vs England,England,T20I # 1867,Sam Curran,6,11,0,0,54.54,7
Sri Lanka vs England,England,T20I # 1867,Chris Woakes,5,3,1,0,166.66,8
Sri Lanka vs England,Sri Lanka,T20I # 1867,Pathum Nissanka,67,45,2,5,148.88,1
Sri Lanka vs England,Sri Lanka,T20I # 1867,Kusal Mendis,18,14,1,1,128.57,2
Sri Lanka vs England,Sri Lanka,T20I # 1867,Dhananjaya de Silva,9,11,0,0,81.81,3
Sri Lanka vs England,Sri Lanka,T20I # 1867,Charith Asalanka,8,9,0,0,88.88,4
Sri Lanka vs England,Sri Lanka,T20I # 1867,Bhanuka Rajapaksa,22,22,3,0,100.00,5
Sri Lanka vs England,Sri Lanka,T20I # 1867,Dasun Shanaka(c),3,8,0,0,37.50,6
Sri Lanka vs England,Sri Lanka,T20I # 1867,Wanindu Hasaranga,9,9,1,0,100.00,7
Sri Lanka vs England,Sri Lanka,T20I # 1867,Chamika Karunaratne,0,2,0,0,0.00,8
Sri Lanka vs England,Sri Lanka,T20I # 1867,Maheesh Theekshana,0,0,0,0,-,9
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Max O'Dowd,71,53,6,3,133.96,1
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Vikramjit Singh,7,14,0,0,50.00,2
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Bas de Leede,14,10,1,1,140.00,3
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Colin Ackermann,0,1,0,0,0.00,4
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Tom Cooper,16,19,2,0,84.21,5
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Scott Edwards(c),21,15,3,0,140.00,6
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Tim Pringle,2,4,0,0,50.00,7
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Timm van der Gugten,0,1,0,0,0.00,8
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Fred Klaassen,3,3,0,0,100.00,9
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Paul van Meekeren,0,0,0,0,-,10
Sri Lanka vs Netherlands,Netherlands,T20I # 1835,Roelof van der Merwe,0,1,0,0,0.00,11
Sri Lanka vs Netherlands,Sri Lanka,T20I # 1835,Pathum Nissanka,14,21,0,1,66.66,1
Sri Lanka vs Netherlands,Sri Lanka,T20I # 1835,Kusal Mendis,79,44,5,5,179.54,2
Sri Lanka vs Netherlands,Sri Lanka,T20I # 1835,Dhananjaya de Silva,0,1,0,0,0.00,3
Sri Lanka vs Netherlands,Sri Lanka,T20I # 1835,Charith Asalanka,31,30,3,0,103.33,4
Sri Lanka vs Netherlands,Sri Lanka,T20I # 1835,Bhanuka Rajapaksa,19,13,2,0,146.15,5
Sri Lanka vs Netherlands,Sri Lanka,T20I # 1835,Dasun Shanaka(c),8,5,0,1,160.00,6
Sri Lanka vs Netherlands,Sri Lanka,T20I # 1835,Wanindu Hasaranga,5,4,0,0,125.00,7
Sri Lanka vs Netherlands,Sri Lanka,T20I # 1835,Chamika Karunaratne,2,2,0,0,100.00,8
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Pathum Nissanka,74,60,6,2,123.33,1
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Kusal Mendis,18,13,2,0,138.46,2
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Dhananjaya de Silva,33,21,3,1,157.14,3
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Bhanuka Rajapaksa,5,8,0,0,62.50,4
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Charith Asalanka,0,1,0,0,0.00,5
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Dasun Shanaka(c),0,1,0,0,0.00,6
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Wanindu Hasaranga,2,3,0,0,66.66,7
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Chamika Karunaratne,8,11,1,0,72.72,8
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Pramod Madushan,1,1,0,0,100.00,9
Sri Lanka vs U.A.E.,Sri Lanka,T20I # 1832,Dushmantha Chameera,1,1,0,0,100.00,10
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Muhammad Waseem,2,4,0,0,50.00,1
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Chirag Suri,14,19,3,0,73.68,2
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Aryan Lakra,1,3,0,0,33.33,3
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,CP Rizwan(c),1,3,0,0,33.33,4
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Vriitya Aravind,9,18,1,0,50.00,5
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Basil Hameed,2,6,0,0,33.33,6
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Aayan Afzal Khan,19,21,1,0,90.47,7
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Kashif Daud,0,4,0,0,0.00,8
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Karthik Meiyappan,4,8,0,0,50.00,9
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Junaid Siddique,18,16,1,1,112.50,10
Sri Lanka vs U.A.E.,United Arab Emirates,T20I # 1832,Zahoor Khan,1,1,0,0,100.00,11
U.A.E. vs Namibia,Namibia,T20I # 1836,Michael van Lingen,10,8,1,0,125.00,1
U.A.E. vs Namibia,Namibia,T20I # 1836,Stephan Baard,4,6,1,0,66.66,2
U.A.E. vs Namibia,Namibia,T20I # 1836,Jan Nicol Loftie-Eaton,1,6,0,0,16.66,3
U.A.E. vs Namibia,Namibia,T20I # 1836,Gerhard Erasmus(c),16,18,2,0,88.88,4
U.A.E. vs Namibia,Namibia,T20I # 1836,Jan Frylinck,14,17,1,0,82.35,5
U.A.E. vs Namibia,Namibia,T20I # 1836,JJ Smit,3,3,0,0,100.00,6
U.A.E. vs Namibia,Namibia,T20I # 1836,David Wiese,55,36,3,3,152.77,7
U.A.E. vs Namibia,Namibia,T20I # 1836,Zane Green,2,3,0,0,66.66,8
U.A.E. vs Namibia,Namibia,T20I # 1836,Ruben Trumpelmann,25,24,1,1,104.16,9
U.A.E. vs Namibia,Namibia,T20I # 1836,Bernard Scholtz,1,1,0,0,100.00,10
U.A.E. vs Namibia,United Arab Emirates,T20I # 1836,Muhammad Waseem,50,41,1,3,121.95,1
U.A.E. vs Namibia,United Arab Emirates,T20I # 1836,Vriitya Aravind,21,32,2,0,65.62,2
U.A.E. vs Namibia,United Arab Emirates,T20I # 1836,CP Rizwan(c),43,29,3,1,148.27,3
U.A.E. vs Namibia,United Arab Emirates,T20I # 1836,Alishan Sharafu,4,4,0,0,100.00,4
U.A.E. vs Namibia,United Arab Emirates,T20I # 1836,Basil Hameed,25,14,2,2,178.57,5
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Vikramjit Singh,10,7,2,0,142.85,1
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Max O'Dowd,23,18,3,1,127.77,2
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Bas de Leede,14,18,1,0,77.77,3
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Colin Ackermann,17,19,1,0,89.47,4
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Tom Cooper,8,16,0,0,50.00,5
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Scott Edwards(c),16,19,0,0,84.21,6
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Roelof van der Merwe,0,2,0,0,0.00,7
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Tim Pringle,15,16,0,0,93.75,8
U.A.E. vs Netherlands,Netherlands,T20I # 1825,Logan van Beek,4,4,0,0,100.00,9
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Chirag Suri,12,20,1,0,60.00,1
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Muhammad Waseem,41,47,1,2,87.23,2
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Kashif Daud,15,14,0,1,107.14,3
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Vriitya Aravind,18,21,0,0,85.71,4
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Zawar Farid,2,4,0,0,50.00,5
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Basil Hameed,4,4,1,0,100.00,6
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,CP Rizwan(c),1,2,0,0,50.00,7
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Aayan Afzal Khan,5,7,0,0,71.42,8
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Karthik Meiyappan,0,0,0,0,-,9
U.A.E. vs Netherlands,United Arab Emirates,T20I # 1825,Junaid Siddique,0,1,0,0,0.00,10
West Indies vs Ireland,Ireland,T20I # 1837,Paul Stirling,66,48,6,2,137.50,1
West Indies vs Ireland,Ireland,T20I # 1837,Andy Balbirnie(c),37,23,3,3,160.86,2
West Indies vs Ireland,Ireland,T20I # 1837,Lorcan Tucker,45,35,2,2,128.57,3
West Indies vs Ireland,West Indies,T20I # 1837,Kyle Mayers,1,5,0,0,20.00,1
West Indies vs Ireland,West Indies,T20I # 1837,Johnson Charles,24,18,3,1,133.33,2
West Indies vs Ireland,West Indies,T20I # 1837,Evin Lewis,13,18,0,0,72.22,3
West Indies vs Ireland,West Indies,T20I # 1837,Brandon King,62,48,6,1,129.16,4
West Indies vs Ireland,West Indies,T20I # 1837,Nicholas Pooran(c),13,11,0,1,118.18,5
West Indies vs Ireland,West Indies,T20I # 1837,Rovman Powell,6,8,1,0,75.00,6
West Indies vs Ireland,West Indies,T20I # 1837,Odean Smith,19,12,1,2,158.33,7
West Indies vs Zimbabwe,West Indies,T20I # 1834,Kyle Mayers,13,12,2,0,108.33,1
West Indies vs Zimbabwe,West Indies,T20I # 1834,Johnson Charles,45,36,3,2,125.00,2
West Indies vs Zimbabwe,West Indies,T20I # 1834,Evin Lewis,15,18,1,0,83.33,3
West Indies vs Zimbabwe,West Indies,T20I # 1834,Nicholas Pooran(c),7,9,0,0,77.77,4
West Indies vs Zimbabwe,West Indies,T20I # 1834,Rovman Powell,28,21,1,2,133.33,5
West Indies vs Zimbabwe,West Indies,T20I # 1834,Shamarh Brooks,0,3,0,0,0.00,6
West Indies vs Zimbabwe,West Indies,T20I # 1834,Jason Holder,4,3,0,0,133.33,7
West Indies vs Zimbabwe,West Indies,T20I # 1834,Akeal Hosein,23,18,2,0,127.77,8
West Indies vs Zimbabwe,West Indies,T20I # 1834,Odean Smith,1,2,0,0,50.00,9
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Wessly Madhevere,27,19,3,1,142.10,1
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Regis Chakabva(c),13,9,3,0,144.44,2
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Tony Munyonga,2,6,0,0,33.33,3
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Sean Williams,1,2,0,0,50.00,4
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Sikandar Raza,14,8,1,1,175.00,5
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Milton Shumba,2,9,0,0,22.22,6
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Ryan Burl,17,19,3,0,89.47,7
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Luke Jongwe,29,22,3,1,131.81,8
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Richard Ngarava,2,6,0,0,33.33,9
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Tendai Chatara,3,8,0,0,37.50,10
West Indies vs Zimbabwe,Zimbabwe,T20I # 1834,Blessing Muzarabani,1,4,0,0,25.00,11
Zimbabwe vs Ireland,Ireland,T20I # 1828,Paul Stirling,0,2,0,0,0.00,1
Zimbabwe vs Ireland,Ireland,T20I # 1828,Andy Balbirnie(c),3,4,0,0,75.00,2
Zimbabwe vs Ireland,Ireland,T20I # 1828,Lorcan Tucker,11,11,2,0,100.00,3
Zimbabwe vs Ireland,Ireland,T20I # 1828,Harry Tector,1,4,0,0,25.00,4
Zimbabwe vs Ireland,Ireland,T20I # 1828,Curtis Campher,27,22,1,0,122.72,5
Zimbabwe vs Ireland,Ireland,T20I # 1828,George Dockrell,24,20,3,0,120.00,6
Zimbabwe vs Ireland,Ireland,T20I # 1828,Gareth Delany,24,20,1,1,120.00,7
Zimbabwe vs Ireland,Ireland,T20I # 1828,Mark Adair,9,10,0,1,90.00,8
Zimbabwe vs Ireland,Ireland,T20I # 1828,Simi Singh,0,1,0,0,0.00,9
Zimbabwe vs Ireland,Ireland,T20I # 1828,Barry McCarthy,22,16,1,2,137.50,10
Zimbabwe vs Ireland,Ireland,T20I # 1828,Josh Little,7,11,1,0,63.63,11
Zimbabwe vs Ireland,Zimbabwe,T20I # 1828,Regis Chakabva,0,2,0,0,0.00,1
Zimbabwe vs Ireland,Zimbabwe,T20I # 1828,Craig Ervine(c),9,12,1,0,75.00,2
Zimbabwe vs Ireland,Zimbabwe,T20I # 1828,Wessly Madhevere,22,19,4,0,115.78,3
Zimbabwe vs Ireland,Zimbabwe,T20I # 1828,Sean Williams,12,11,0,1,109.09,4
Zimbabwe vs Ireland,Zimbabwe,T20I # 1828,Sikandar Raza,82,48,5,5,170.83,5
Zimbabwe vs Ireland,Zimbabwe,T20I # 1828,Milton Shumba,16,14,1,0,114.28,6
Zimbabwe vs Ireland,Zimbabwe,T20I # 1828,Ryan Burl,1,4,0,0,25.00,7
Zimbabwe vs Ireland,Zimbabwe,T20I # 1828,Luke Jongwe,20,10,3,0,200.00,8
Zimbabwe vs Netherlands,Netherlands,T20I # 1859,Stephan Myburgh,8,7,0,1,114.28,1
Zimbabwe vs Netherlands,Netherlands,T20I # 1859,Max O'Dowd,52,47,8,1,110.63,2
Zimbabwe vs Netherlands,Netherlands,T20I # 1859,Tom Cooper,32,29,2,1,110.34,3
Zimbabwe vs Netherlands,Netherlands,T20I # 1859,Colin Ackermann,1,5,0,0,20.00,4
Zimbabwe vs Netherlands,Netherlands,T20I # 1859,Bas de Leede,12,12,2,0,100.00,5
Zimbabwe vs Netherlands,Netherlands,T20I # 1859,Scott Edwards(c),5,6,1,0,83.33,6
Zimbabwe vs Netherlands,Netherlands,T20I # 1859,Roelof van der Merwe,0,3,0,0,0.00,7
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Wessly Madhevere,1,5,0,0,20.00,1
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Craig Ervine(c),3,12,0,0,25.00,2
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Regis Chakabva,5,16,1,0,31.25,3
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Sean Williams,28,23,3,0,121.73,4
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Sikandar Raza,40,24,3,3,166.66,5
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Milton Shumba,2,3,0,0,66.66,6
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Ryan Burl,2,7,0,0,28.57,7
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Luke Jongwe,6,8,0,0,75.00,8
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Richard Ngarava,9,7,0,1,128.57,9
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Tendai Chatara,6,7,0,0,85.71,10
Zimbabwe vs Netherlands,Zimbabwe,T20I # 1859,Blessing Muzarabani,1,4,0,0,25.00,11
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Mohammad Rizwan,14,16,1,1,87.50,1
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Babar Azam(c),4,9,1,0,44.44,2
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Shan Masood,44,38,3,0,115.78,3
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Iftikhar Ahmed,5,10,1,0,50.00,4
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Shadab Khan,17,14,0,1,121.42,5
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Haider Ali,0,1,0,0,0.00,6
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Mohammad Nawaz,22,18,1,1,122.22,7
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Mohammad Wasim,12,13,2,0,92.30,8
Zimbabwe vs Pakistan,Pakistan,T20I # 1849,Shaheen Shah Afridi,1,1,0,0,100.00,9
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Wessly Madhevere,17,13,3,0,130.76,1
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Craig Ervine(c),19,19,2,0,100.00,2
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Milton Shumba,8,10,1,0,80.00,3
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Sean Williams,31,28,3,0,110.71,4
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Sikandar Raza,9,16,1,0,56.25,5
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Regis Chakabva,0,1,0,0,0.00,6
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Ryan Burl,10,15,0,0,66.66,7
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Luke Jongwe,0,1,0,0,0.00,8
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Brad Evans,19,15,0,1,126.66,9
Zimbabwe vs Pakistan,Zimbabwe,T20I # 1849,Richard Ngarava,3,2,0,0,150.00,10
Zimbabwe vs South Africa,South Africa,T20I # 1844,Quinton de Kock,47,18,8,1,261.11,1
Zimbabwe vs South Africa,South Africa,T20I # 1844,Temba Bavuma(c),2,2,0,0,100.00,2
Zimbabwe vs South Africa,Zimbabwe,T20I # 1844,Regis Chakabva,8,8,0,1,100.00,1
Zimbabwe vs South Africa,Zimbabwe,T20I # 1844,Craig Ervine(c),2,6,0,0,33.33,2
Zimbabwe vs South Africa,Zimbabwe,T20I # 1844,Sean Williams,1,1,0,0,100.00,3
Zimbabwe vs South Africa,Zimbabwe,T20I # 1844,Sikandar Raza,0,2,0,0,0.00,4
Zimbabwe vs South Africa,Zimbabwe,T20I # 1844,Wessly Madhevere,35,18,4,1,194.44,5
Zimbabwe vs South Africa,Zimbabwe,T20I # 1844,Milton Shumba,18,20,2,0,90.00,6
